Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP,Population,Happiness Index
Eastern Mediterranean,Tunisia,2018,Female,1.84,0.9,3.14,65.4613698630137,3577.1684955376886,11933041.0,4.741
Africa,Algeria,2018,Female,1.91,1.01,3.15,62.18082191780822,4171.7953921867875,41927007.0,5.043
Eastern Mediterranean,Jordan,2018,Both sexes,1.94,1.27,2.81,64.8131506849315,4146.407295820336,10459865.0,4.639
Eastern Mediterranean,Morocco,2018,Male,9.95,4.5,18.15,61.19534246575342,3544.39086724391,35927511.0,4.897
Europe,France,2018,Both sexes,10.05,8.22,15.42,51.521232876712325,41937.93391532341,67158348.0,6.666
Europe,Iceland,2018,Both sexes,10.12,7.98,12.53,39.42356164383562,74404.72645126643,352721.0,7.505
Europe,Norway,2018,Both sexes,10.13,9.23,11.14,41.73342465753425,82786.54634581493,5311916.0,7.444
Americas,Cuba,2018,Both sexes,10.17,7.9,17.28,73.50164383561643,8831.907222337371,11328244.0,5.418
Africa,Nigeria,2018,Male,10.25,6.11,17.76,79.5527397260274,2125.824640669959,198387623.0,5.252
Africa,Uganda,2018,Both sexes,10.25,6.33,16.09,69.8309589041096,820.7946894254776,41515395.0,4.322
Americas,Guatemala,2018,Male,10.42,7.57,14.03,64.16657534246575,4351.786588356213,16346950.0,6.627
Europe,Poland,2018,Both sexes,10.4,8.43,12.65,49.65041095890411,15284.46472737225,37974750.0,6.111
Western Pacific,Singapore,2018,Male,10.37,8.49,12.52,80.34821917808219,64815.01262806846,5638676.0,6.378
Americas,Brazil,2018,Male,10.41,9.53,16.92,69.46438356164384,9121.020092499584,210166592.0,6.191
Europe,Bulgaria,2018,Male,10.51,7.65,13.97,51.37616438356165,9319.715186840707,7025037.0,5.099
Americas,Canada,2018,Both sexes,10.5,8.62,14.92,36.807534246575344,46587.609299215925,37072620.0,7.175
Western Pacific,New Zealand,2018,Both sexes,10.66,8.97,12.56,58.83068493150685,43791.577626013255,4900600.0,7.37
Africa,Kenya,2018,Both sexes,11.03,7.84,15.09,63.22520547945206,1845.783412858356,49953304.0,4.656
