Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP
Americas,Argentina,2019,Both sexes,8.14,6.47,10.05,60.407123287671226,10006.693110619826
Europe,Germany,2019,Both sexes,8.27,6.74,10.0,48.25071225071225,46774.0774776299
Europe,Belgium,2019,Female,8.41,6.75,10.26,50.01342465753425,46554.24513801604
Americas,Dominican Republic,2019,Male,8.53,4.91,14.09,75.61808219178081,8173.344645803636
Western Pacific,China,2019,Male,8.63,6.49,11.53,59.34558904109589,10043.13017714862
Americas,Mexico,2019,Male,8.69,7.06,10.57,65.32584474885844,10434.56743883823
Africa,Mozambique,2019,Female,8.92,4.87,14.98,72.40630136986302,512.2157610346017
Europe,Ireland,2019,Both sexes,8.9,7.01,11.12,47.38602739726028,81481.09923743273
Western Pacific,Malaysia,2019,Male,9.02,5.5,14.12,79.98109589041096,11132.10526349743
Africa,Madagascar,2019,Both sexes,9.18,5.4,14.67,64.46657534246575,512.2796655827365
Africa,Central African Republic,2019,Female,9.3,5.14,15.6,62.85260273972603,426.2785602438487
Europe,Poland,2019,Both sexes,9.3,7.34,11.75,49.365753424657534,15484.611924427803
Africa,Gambia,2019,Both sexes,9.64,5.1,16.44,75.35780821917808,722.8756336055856
Western Pacific,Singapore,2019,Both sexes,9.65,7.77,11.77,80.32438356164384,64236.5278764376
Europe,France,2019,Both sexes,9.65,7.76,15.08,54.09767123287671,40915.376825761254
Eastern Mediterranean,Pakistan,2019,Both sexes,9.77,4.86,17.72,28.234246575342464,1307.3335009782547
South-East Asia,Nepal,2019,Both sexes,9.77,5.4,15.22,62.714520547945206,1188.5288874857758
Africa,South Africa,2019,Female,9.83,5.75,14.49,60.399726027397264,6702.526591226513
Europe,Switzerland,2019,Both sexes,9.83,7.93,12.04,49.04392694063927,84113.28662971577
Eastern Mediterranean,Bahrain,2019,Male,9.86,6.06,14.38,79.97232876712329,25869.206182092556
Europe,Norway,2019,Both sexes,9.91,9.0,10.95,39.80958904109589,76425.11561365644
Americas,Barbados,2018,Female,0.16,0.11,0.22,77.88571428571429,18271.25225250994
Americas,Barbados,2018,Both sexes,0.31,0.22,0.43,77.88571428571429,18271.25225250994
Americas,Barbados,2018,Male,0.5,0.36,0.67,77.88571428571429,18271.25225250994
Eastern Mediterranean,Kuwait,2018,Female,0.72,0.49,1.02,80.1558904109589,32012.135280257677
Eastern Mediterranean,Jordan,2018,Female,0.93,0.61,1.35,64.8131506849315,4146.407295820336
Americas,Honduras,2018,Female,0.99,0.54,1.71,67.97753424657535,2457.6864395511943
Americas,Panama,2018,Female,1.02,0.69,1.44,76.95479452054795,16156.074294370932
Eastern Mediterranean,Oman,2018,Female,1.13,0.67,1.79,75.0695890410959,19887.588726753936
Americas,Bahamas,2018,Female,1.19,0.8,1.71,76.63041095890411,32400.95669136564
South-East Asia,Indonesia,2018,Female,1.17,0.9,1.51,80.56904109589041,3902.6616754269257
Western Pacific,Philippines,2018,Female,1.31,1.0,9.62,80.58191780821919,3194.6727041429067
Eastern Mediterranean,Lebanon,2018,Female,1.55,0.86,2.56,67.42657534246575,9225.845154876704
Eastern Mediterranean,Qatar,2018,Female,1.68,1.02,2.61,82.39972602739726,66264.08116622311
Americas,Belize,2018,Female,1.65,1.19,2.26,78.54849315068493,6001.024261515026
Americas,Colombia,2018,Female,1.69,1.17,2.34,54.83972602739726,6782.037920331896
Eastern Mediterranean,Tunisia,2018,Female,1.84,0.9,3.14,65.4613698630137,3577.1684955376886
Africa,Algeria,2018,Female,1.91,1.01,3.15,62.18082191780822,4171.7953921867875
Eastern Mediterranean,Jordan,2018,Both sexes,1.94,1.27,2.81,64.8131506849315,4146.407295820336
Eastern Mediterranean,Morocco,2018,Male,9.95,4.5,18.15,61.19534246575342,3544.39086724391
Europe,France,2018,Both sexes,10.05,8.22,15.42,51.521232876712325,41937.93391532341
Europe,Iceland,2018,Both sexes,10.12,7.98,12.53,39.42356164383562,74404.72645126643
Europe,Norway,2018,Both sexes,10.13,9.23,11.14,41.73342465753425,82786.54634581493
Americas,Cuba,2018,Both sexes,10.17,7.9,17.28,73.50164383561643,8831.907222337371
Africa,Nigeria,2018,Male,10.25,6.11,17.76,79.5527397260274,2125.824640669959
Africa,Uganda,2018,Both sexes,10.25,6.33,16.09,69.8309589041096,820.7946894254776
Americas,Guatemala,2018,Male,10.42,7.57,14.03,64.16657534246575,4351.786588356213
Europe,Poland,2018,Both sexes,10.4,8.43,12.65,49.65041095890411,15284.46472737225
Western Pacific,Singapore,2018,Male,10.37,8.49,12.52,80.34821917808219,64815.01262806846
Americas,Brazil,2018,Male,10.41,9.53,16.92,69.46438356164384,9121.020092499584
Europe,Bulgaria,2018,Male,10.51,7.65,13.97,51.37616438356165,9319.715186840707
Americas,Canada,2018,Both sexes,10.5,8.62,14.92,36.807534246575344,46587.609299215925
Western Pacific,New Zealand,2018,Both sexes,10.66,8.97,12.56,58.83068493150685,43791.577626013255
Africa,Kenya,2018,Both sexes,11.03,7.84,15.09,63.22520547945206,1845.783412858356
South-East Asia,India,2018,Female,11.05,8.72,13.78,79.84376712328766,2018.400292469425
Africa,Senegal,2018,Both sexes,11.16,6.73,17.33,71.65452054794521,1484.228225224307
Europe,Austria,2018,Both sexes,11.19,9.38,13.24,52.533150684931506,51466.60313672992
Western Pacific,Australia,2018,Both sexes,11.26,9.4,13.34,61.485863013698626,58327.72654202311
Americas,Haiti,2018,Both sexes,11.37,5.84,18.86,74.56931506849315,1428.4226360289288
Americas,Costa Rica,2018,Male,11.51,8.36,24.99,70.51452054794521,12383.149946953294
Africa,Congo,2018,Both sexes,11.63,6.9,18.38,76.58027397260274,2715.2604175376414
Europe,Portugal,2018,Male,11.75,9.48,14.5,59.588767123287674,23548.785435137383
Americas,Suriname,2018,Female,11.94,7.74,17.33,73.3627397260274,6730.836782503209
Europe,Denmark,2018,Male,11.91,9.6,14.64,47.8331506849315,61879.77226609316
Africa,Guinea,2018,Both sexes,12.24,6.7,20.39,69.18493150684931,944.417268463842
Europe,Hungary,2018,Both sexes,12.58,10.01,15.55,52.360547945205475,16423.871034958698
Europe,Sweden,2018,Both sexes,12.69,10.91,14.59,45.467123287671235,54658.4415736568
Americas,Belize,2018,Male,12.79,9.39,16.96,78.54849315068493,6001.024261515026
Africa,Guinea-Bissau,2018,Both sexes,12.9,7.3,20.91,78.57095890410959,741.561990677868
South-East Asia,India,2018,Both sexes,12.88,9.36,16.05,79.84376712328766,2018.400292469425
Africa,Benin,2018,Both sexes,12.97,7.74,20.76,78.73178082191781,1194.4376027139062
Europe,Germany,2018,Male,13.11,10.91,15.52,48.67880512091038,47944.53273529267
Africa,Gambia,2018,Male,13.2,6.71,23.32,73.47917808219178,683.3308125479496
South-East Asia,Sri Lanka,2018,Both sexes,13.24,8.59,21.58,77.70164383561644,4378.62649173021
Europe,Romania,2018,Male,13.34,10.61,16.42,53.27095890410959,12409.794712469044
Western Pacific,Japan,2018,Both sexes,13.37,12.73,13.98,56.09525114155252,39925.91472403238
Africa,Madagascar,2018,Male,13.45,8.04,21.29,64.63506849315068,512.5439915182403
Africa,Gabon,2018,Both sexes,13.56,7.8,21.82,78.26301369863013,7694.908750688501
Europe,Norway,2018,Male,13.7,12.51,15.02,41.73342465753425,82786.54634581493
Africa,Namibia,2018,Both sexes,13.74,7.85,22.9,49.45068493150685,5687.381186712097
Europe,Switzerland,2018,Male,14.24,11.77,16.97,50.5986301369863,85216.31825063191
Europe,Belgium,2018,Both sexes,14.32,11.99,16.9,51.39095890410959,47455.52331957778
Europe,Finland,2018,Both sexes,14.41,11.89,17.18,42.44684931506849,49988.20620213668
Eastern Mediterranean,Pakistan,2018,Male,14.57,6.26,27.89,75.04849315068493,1464.0225911901814
South-East Asia,India,2018,Male,14.69,10.01,18.32,79.84376712328766,2018.400292469425
Europe,Ireland,2018,Male,14.77,11.91,18.15,48.69315068493151,79986.09973157773
Americas,Argentina,2018,Male,14.91,12.07,18.1,61.24904109589041,11816.649536985458
Africa,Togo,2018,Both sexes,14.88,8.81,23.34,77.92054794520548,873.5548866090085
Americas,Haiti,2018,Male,15.07,7.41,25.07,74.56931506849315,1428.4226360289288
